,Service,Country,Local Price,Currency,Plan/Title,Cost in USD (VALUES),GDP per Capita (PPP),Service Type
,YouTube Premium,Spain,11.99,EUR,Monthly,$13.59,"$43,007.50",Video Streaming
,Netflix,Croatia,11.99,EUR,Premium,$13.59,"$29,207.13",Video Streaming
,Netflix,Romania,11.99,EUR,Premium,$13.59,"$29,554.75",Video Streaming
,Netflix,Lithuania,11.99,EUR,Premium,$13.59,"$38,751.02",Video Streaming
,Netflix,Russia,11.99,EUR,Premium,$13.59,"$30,819.56",Video Streaming
,Netflix,Israel,46.90,NIS,Standard,$13.54,"$40,336.84",Video Streaming
,Netflix,Thailand,420.00,THB,Premium,$13.34,"$21,360.92",Video Streaming
,Netflix,Poland,52.00,PLN,Premium,$13.26,"$35,651.18",Video Streaming
,Apple music,Austria,14.99,EUR,Family,$16.99,"$55,171.99",Music Streaming
,Apple music,Ireland,14.99,EUR,Family,$16.99,"$86,988.20",Music Streaming
,Apple music,Belgium,14.99,EUR,Family,$16.99,"$50,904.69",Music Streaming
,Apple music,Italy,14.99,EUR,Family,$16.99,"$41,582.19",Music Streaming
,Apple music,Spain,14.99,EUR,Family,$16.99,"$43,007.50",Music Streaming
,Apple music,Luxembourg,14.99,EUR,Family,$16.99,"$112,044.59",Music Streaming
,Apple music,Finland,14.99,EUR,Family,$16.99,"$49,547.88",Music Streaming
,Apple music,France,14.99,EUR,Family,$16.99,"$48,640.05",Music Streaming
,Apple music,Netherlands,14.99,EUR,Family,$16.99,"$60,299.14",Music Streaming
,Apple music,Germany,14.99,EUR,Family,$16.99,"$55,306.21",Music Streaming
,Netflix,Hungary,"3,990.00",HUF,Premium,$13.12,"$35,941.19",Video Streaming
,Netflix,Taiwan,390.00,TWD,Premium,$13.12,"$57,214.16",Video Streaming
,Netflix,Peru,44.90,PEN,Premium,$13.10,"$15,398.62",Video Streaming
,Netflix,Costa Rica,12.99,USD,Standard,$12.99,"$18,650.95",Video Streaming
,Netflix,Uruguay,12.99,USD,Standard,$12.99,"$24,515.57",Video Streaming
,Netflix,United States,12.99,USD,Standard,$12.99,"$67,426.84",Video Streaming
,Netflix,Canada,16.99,CAD,Premium,$12.63,"$52,144.45",Video Streaming
,Netflix,Australia,17.99,AUD,Premium,$12.57,"$54,799.04",Video Streaming
,Netflix,Portugal,10.99,EUR,Standard,$12.45,"$34,935.82",Video Streaming
,Netflix,Bolivia,10.99,EUR,Standard,$12.45,"$8,524.76",Video Streaming
,Xbox,Greece,34.99,EUR,Forza Horizon,$39.65,"$31,616.27",Gaming
,Xbox,Greece,45.49,EUR,Sekiro,$51.54,"$31,616.27",Gaming
,Playstation,Greece,49.99,EUR,Spider-Man,$56.64,"$31,616.27",Gaming
,Nintendo,Greece,59.99,EUR,Animal crossing,$67.97,"$31,616.27",Gaming
,Nintendo,Greece,59.99,EUR,Mario,$67.97,"$31,616.27",Gaming
,Nintendo,Greece,69.99,EUR,Zelda,$79.31,"$31,616.27",Gaming
,Steam,Hong Kong,249.00,HKD,GTA V,$32.13,"$66,527.92",Gaming
,Steam,Hong Kong,465.00,HKD,Doom Eternal,$60.00,"$66,527.92",Gaming
,Steam,Hong Kong,94.00,HKD,PUBG,$12.13,"$66,527.92",Gaming
,Xbox,Hong Kong,209.50,HKD,Forza Horizon,$27.03,"$66,527.92",Gaming
,Xbox,Hong Kong,234.00,HKD,Red Dead,$30.19,"$66,527.92",Gaming
,Xbox,Hong Kong,261.95,HKD,Sekiro,$33.80,"$66,527.92",Gaming
,Nintendo,Hungary,59.99,EUR,Animal crossing,$67.97,"$35,941.19",Gaming
,Nintendo,Hungary,59.99,EUR,Mario,$67.97,"$35,941.19",Gaming
,Nintendo,Hungary,69.99,EUR,Zelda,$79.31,"$35,941.19",Gaming
,Xbox,Hungary,"10,995.00",HUF,Red Dead,$36.16,"$35,941.19",Gaming
,Xbox,Hungary,"13,640.00",HUF,Sekiro,$44.86,"$35,941.19",Gaming
,Playstation,Hungary,"14,990.00",HUF,Spider-Man,$49.30,"$35,941.19",Gaming
,Playstation,Hungary,"5,990.00",HUF,God Of War,$19.70,"$35,941.19",Gaming
,Playstation,Hungary,"5,990.00",HUF,Bloodborne,$19.70,"$35,941.19",Gaming
,Xbox,Hungary,"9,950.00",HUF,Forza Horizon,$32.72,"$35,941.19",Gaming
,Steam,India,"2,099.00",INR,GTA V,$27.79,"$9,026.87",Gaming
,Steam,India,"3,999.00",INR,Doom Eternal,$52.94,"$9,026.87",Gaming
,Steam,India,499.00,INR,PUBG,$6.61,"$9,026.87",Gaming
,Playstation,India,"1,499.00",INR,God Of War,$19.85,"$9,026.87",Gaming
,Playstation,India,"1,499.00",INR,Bloodborne,$19.85,"$9,026.87",Gaming
,Xbox,India,"1,649.50",INR,Forza Horizon,$21.84,"$9,026.87",Gaming
,Xbox,India,"2,000.00",INR,Red Dead,$26.48,"$9,026.87",Gaming
,Xbox,India,"2,600.00",INR,Sekiro,$34.42,"$9,026.87",Gaming
,Playstation,India,"2,999.00",INR,Spider-Man,$39.70,"$9,026.87",Gaming
,Twitch Prime,Netherlands,2.99,EUR,Monthly,$3.39,"$60,299.14",Video Streaming
,Twitch Prime,Italy,3.99,EUR,Monthly,$4.52,"$41,582.19",Video Streaming
,Twitch Prime,Spain,3.99,EUR,Monthly,$4.52,"$43,007.50",Video Streaming
,Steam,Indonesia,"109,999.00",IDR,PUBG,$7.90,"$14,840.76",Gaming
,Steam,Indonesia,"290,000.00",IDR,GTA V,$20.82,"$14,840.76",Gaming
,Steam,Indonesia,"799,000.00",IDR,Doom Eternal,$57.37,"$14,840.76",Gaming
,Steam,Ireland,14.99,EUR,PUBG,$16.99,"$86,988.20",Gaming
,Steam,Ireland,29.99,EUR,GTA V,$33.98,"$86,988.20",Gaming
,Steam,Ireland,59.99,EUR,Doom Eternal,$67.97,"$86,988.20",Gaming
,Playstation,Ireland,19.99,EUR,God Of War,$22.65,"$86,988.20",Gaming
,Playstation,Ireland,19.99,EUR,Bloodborne,$22.65,"$86,988.20",Gaming
,Xbox,Ireland,34.99,EUR,Red Dead,$39.65,"$86,988.20",Gaming
,Xbox,Ireland,34.99,EUR,Forza Horizon,$39.65,"$86,988.20",Gaming
,Xbox,Ireland,45.49,EUR,Sekiro,$51.54,"$86,988.20",Gaming
,Playstation,Ireland,49.99,EUR,Spider-Man,$56.64,"$86,988.20",Gaming
,Nintendo,Ireland,59.99,EUR,Animal crossing,$67.97,"$86,988.20",Gaming
,Nintendo,Ireland,59.99,EUR,Mario,$67.97,"$86,988.20",Gaming
,Nintendo,Ireland,69.99,EUR,Zelda,$79.31,"$86,988.20",Gaming
,Steam,Israel,144.00,ILS,GTA V,$41.65,"$40,336.84",Gaming
,Steam,Israel,259.00,ILS,Doom Eternal,$74.91,"$40,336.84",Gaming
,Steam,Israel,44.12,ILS,PUBG,$12.76,"$40,336.84",Gaming
,Nintendo,Israel,59.99,EUR,Animal crossing,$67.97,"$40,336.84",Gaming
,Nintendo,Israel,59.99,EUR,Mario,$67.97,"$40,336.84",Gaming
,Nintendo,Israel,69.99,EUR,Zelda,$79.31,"$40,336.84",Gaming
,Xbox,Israel,135.00,ILS,Red Dead,$39.05,"$40,336.84",Gaming
,Xbox,Israel,150.00,ILS,Forza Horizon,$43.39,"$40,336.84",Gaming
,Xbox,Israel,217.75,ILS,Sekiro,$62.98,"$40,336.84",Gaming
,Amazon Prime,United Kingdom,5.99,GBP,Monthly,$7.58,"$48,168.87",Video Streaming
,Amazon Prime,Denmark,5.99,EUR,Monthly,$6.79,"$55,674.67",Video Streaming
,Spotify,Ireland,9.99,EUR,Individual,$11.32,"$86,988.20",Music Streaming
,Apple music,Germany,9.99,EUR,Individual,$11.32,"$55,306.21",Music Streaming
,Playstation,Israel,239.00,ILS,Spider-Man,$69.13,"$40,336.84",Gaming
,Playstation,Israel,96.00,ILS,God Of War,$27.77,"$40,336.84",Gaming
,Playstation,Israel,96.00,ILS,Bloodborne,$27.77,"$40,336.84",Gaming
,Steam,Italy,14.99,EUR,PUBG,$16.99,"$41,582.19",Gaming
,Steam,Italy,29.99,EUR,GTA V,$33.98,"$41,582.19",Gaming
,Steam,Italy,59.99,EUR,Doom Eternal,$67.97,"$41,582.19",Gaming
,Playstation,Italy,19.99,EUR,God Of War,$22.65,"$41,582.19",Gaming
,Playstation,Italy,19.99,EUR,Bloodborne,$22.65,"$41,582.19",Gaming
,Xbox,Italy,32.49,EUR,Forza Horizon,$36.81,"$41,582.19",Gaming
,Xbox,Italy,34.99,EUR,Red Dead,$39.65,"$41,582.19",Gaming
,Xbox,Italy,45.49,EUR,Sekiro,$51.54,"$41,582.19",Gaming
,Playstation,Italy,49.99,EUR,Spider-Man,$56.64,"$41,582.19",Gaming
,Nintendo,Italy,59.99,EUR,Animal crossing,$67.97,"$41,582.19",Gaming
,Nintendo,Italy,59.99,EUR,Mario,$67.97,"$41,582.19",Gaming
,Nintendo,Italy,69.99,EUR,Zelda,$79.31,"$41,582.19",Gaming
,Steam,Japan,"1,650.00",JPY,PUBG,$15.10,"$46,827.35",Gaming
,Steam,Japan,"4,850.00",JPY,GTA V,$44.38,"$46,827.35",Gaming
,Steam,Japan,"8,618.00",JPY,Doom Eternal,$78.86,"$46,827.35",Gaming
,Xbox,Japan,"3,726.00",JPY,Forza Horizon,$34.10,"$46,827.35",Gaming
,Xbox,Japan,"4,379.00",JPY,Red Dead,$40.07,"$46,827.35",Gaming
,Xbox,Japan,"5,434.00",JPY,Sekiro,$49.72,"$46,827.35",Gaming
,Steam,Kazakhstan,"20,150.00",KZT,Doom Eternal,$50.44,"$30,178.19",Gaming
,Steam,Kazakhstan,"2,950.00",KZT,PUBG,$7.38,"$30,178.19",Gaming
,Steam,Kazakhstan,"7,100.00",KZT,GTA V,$17.77,"$30,178.19",Gaming
,Steam,Kuwait,22.00,KWD,Doom Eternal,$71.41,"$67,890.98",Gaming
,Steam,Kuwait,4.52,KWD,PUBG,$14.67,"$67,890.98",Gaming
,Steam,Kuwait,9.99,KWD,GTA V,$32.43,"$67,890.98",Gaming
,Amazon Prime,Estonia,5.99,EUR,Monthly,$6.79,"$37,605.62",Video Streaming
,Amazon Prime,Belgium,5.99,EUR,Monthly,$6.79,"$50,904.69",Video Streaming
,Amazon Prime,Finland,5.99,EUR,Monthly,$6.79,"$49,547.88",Video Streaming
,Amazon Prime,France,5.99,EUR,Monthly,$6.79,"$48,640.05",Video Streaming
,Amazon Prime,Latvia,5.99,EUR,Monthly,$6.79,"$32,986.51",Video Streaming
,Amazon Prime,Lithuania,5.99,EUR,Monthly,$6.79,"$38,751.02",Video Streaming
,Amazon Prime,Netherlands,5.99,EUR,Monthly,$6.79,"$60,299.14",Video Streaming
,Amazon Prime,Norway,5.99,EUR,Monthly,$6.79,"$79,638.07",Video Streaming
,Amazon Prime,Russia,5.99,EUR,Monthly,$6.79,"$30,819.56",Video Streaming
,Amazon Prime,Sweden,5.99,EUR,Monthly,$6.79,"$55,988.99",Video Streaming
,Amazon Prime,Saint Kitts And Nevis*,5.99,EUR,Monthly,$6.79,"$26,531.00",Video Streaming
,Amazon Prime,Bermuda*,5.99,EUR,Monthly,$6.79,"$99,400.00",Video Streaming
,Amazon Prime,Martinique*,5.99,EUR,Monthly,$6.79,"$14,400.00",Video Streaming
,Amazon Prime,French Guiana*,5.99,EUR,Monthly,$6.79,"$5,447.00",Video Streaming
,Amazon Prime,New Caledonia*,5.99,EUR,Monthly,$6.79,"$32,100.00",Video Streaming
,Amazon Prime,Sri Lanka,5.99,EUR,Monthly,$6.79,"$14,508.78",Video Streaming
,Amazon Prime,Cambodia,5.99,EUR,Monthly,$6.79,"$5,004.10",Video Streaming
,Amazon Prime,Albania,5.99,EUR,Monthly,$6.79,"$14,866.44",Video Streaming
,Amazon Prime,Serbia,5.99,EUR,Monthly,$6.79,"$19,767.47",Video Streaming
,Amazon Prime,Andorra*,5.99,EUR,Monthly,$6.79,"$49,900.00",Video Streaming
,Amazon Prime,Luxembourg,5.99,EUR,Monthly,$6.79,"$112,044.59",Video Streaming
,Amazon Prime,Slovakia,5.99,EUR,Monthly,$6.79,"$38,321.54",Video Streaming
,Amazon Prime,Armenia,5.99,EUR,Monthly,$6.79,"$11,844.65",Video Streaming
,Amazon Prime,Malta,5.99,EUR,Monthly,$6.79,"$49,589.46",Video Streaming
,Amazon Prime,Slovenia,5.99,EUR,Monthly,$6.79,"$40,343.95",Video Streaming
,Amazon Prime,Monaco*,5.99,EUR,Monthly,$6.79,"$115,700.00",Video Streaming
,Amazon Prime,Belarus,5.99,EUR,Monthly,$6.79,"$21,223.74",Video Streaming
,Amazon Prime,Greece,5.99,EUR,Monthly,$6.79,"$31,616.27",Video Streaming
,Amazon Prime,Bosnia And Herzegovina,5.99,EUR,Monthly,$6.79,"$14,894.16",Video Streaming
,Amazon Prime,Hungary,5.99,EUR,Monthly,$6.79,"$35,941.19",Video Streaming
,Amazon Prime,Poland,5.99,EUR,Monthly,$6.79,"$35,651.18",Video Streaming
,Amazon Prime,Turkey,5.99,EUR,Monthly,$6.79,"$29,326.50",Video Streaming
,Amazon Prime,Bulgaria,5.99,EUR,Monthly,$6.79,"$26,034.33",Video Streaming
,Amazon Prime,Iceland,5.99,EUR,Monthly,$6.79,"$56,973.68",Video Streaming
,Amazon Prime,Portugal,5.99,EUR,Monthly,$6.79,"$34,935.82",Video Streaming
,Amazon Prime,Ukraine,5.99,EUR,Monthly,$6.79,"$10,310.06",Video Streaming
,Amazon Prime,Croatia,5.99,EUR,Monthly,$6.79,"$29,207.13",Video Streaming
,Amazon Prime,Romania,5.99,EUR,Monthly,$6.79,"$29,554.75",Video Streaming
,Amazon Prime,Cyprus,5.99,EUR,Monthly,$6.79,"$42,956.46",Video Streaming
,Amazon Prime,Vatican City*,5.99,EUR,Monthly,$6.79,"$21,198.00",Video Streaming
,Amazon Prime,Czech Republic,5.99,EUR,Monthly,$6.79,"$40,584.79",Video Streaming
,Amazon Prime,Liechtenstein*,5.99,EUR,Monthly,$6.79,"$139,100.00",Video Streaming
,Amazon Prime,San Marino,5.99,EUR,Monthly,$6.79,"$62,912.60",Video Streaming
,Amazon Prime,Georgia,5.99,EUR,Monthly,$6.79,"$13,199.65",Video Streaming
,Amazon Prime,Singapore,8.99,SGD,Monthly,$6.45,"$105,689.46",Video Streaming
,Twitch Prime,France,5.99,EUR,Monthly,$6.79,"$48,640.05",Video Streaming
,Twitch Prime,Belgium,5.99,EUR,Monthly,$6.79,"$50,904.69",Video Streaming
,Spotify,Iceland,9.99,EUR,Individual,$11.32,"$56,973.68",Music Streaming
,Spotify,France,9.99,EUR,Individual,$11.32,"$48,640.05",Music Streaming
,Apple music,Sweden,99.00,SEK,Individual,$10.78,"$55,988.99",Music Streaming
,Apple music,Norway,99.00,NOK,Individual,$10.64,"$79,638.07",Music Streaming
,Steam,Kyrgyzstan,8.99,USD,PUBG,$8.99,"$4,192.98",Gaming
,Steam,Kyrgyzstan,24.99,USD,GTA V,$24.99,"$4,192.98",Gaming
,Steam,Kyrgyzstan,29.99,USD,Doom Eternal,$29.99,"$4,192.98",Gaming
,Steam,Laos,14.99,USD,PUBG,$14.99,"$8,683.69",Gaming
,Steam,Laos,19.99,USD,GTA V,$19.99,"$8,683.69",Gaming
,Steam,Laos,59.99,USD,Doom Eternal,$59.99,"$8,683.69",Gaming
,Steam,Latvia,14.99,EUR,PUBG,$16.99,"$32,986.51",Gaming
,Steam,Latvia,29.99,EUR,GTA V,$33.98,"$32,986.51",Gaming
,Steam,Latvia,59.99,EUR,Doom Eternal,$67.97,"$32,986.51",Gaming
,Nintendo,Latvia,59.99,EUR,Animal crossing,$67.97,"$32,986.51",Gaming
,Nintendo,Latvia,59.99,EUR,Mario,$67.97,"$32,986.51",Gaming
,Nintendo,Latvia,69.99,EUR,Zelda,$79.31,"$32,986.51",Gaming
,Steam,Lithuania,14.99,EUR,PUBG,$16.99,"$38,751.02",Gaming
,Steam,Lithuania,29.99,EUR,GTA V,$33.98,"$38,751.02",Gaming
,Steam,Lithuania,59.99,EUR,Doom Eternal,$67.97,"$38,751.02",Gaming
,Nintendo,Lithuania,59.99,EUR,Animal crossing,$67.97,"$38,751.02",Gaming
,Nintendo,Lithuania,59.99,EUR,Mario,$67.97,"$38,751.02",Gaming
,Nintendo,Lithuania,69.99,EUR,Zelda,$79.31,"$38,751.02",Gaming
,Steam,Luxembourg,14.99,EUR,PUBG,$16.99,"$112,044.59",Gaming
,Steam,Luxembourg,29.99,EUR,GTA V,$33.98,"$112,044.59",Gaming
,Steam,Luxembourg,59.99,EUR,Doom Eternal,$67.97,"$112,044.59",Gaming
,Playstation,Luxembourg,19.99,EUR,God Of War,$22.65,"$112,044.59",Gaming
,Playstation,Luxembourg,19.99,EUR,Bloodborne,$22.65,"$112,044.59",Gaming
,Playstation,Luxembourg,49.99,EUR,Spider-Man,$56.64,"$112,044.59",Gaming
,Nintendo,Luxembourg,59.99,EUR,Animal crossing,$67.97,"$112,044.59",Gaming
,Nintendo,Luxembourg,59.99,EUR,Mario,$67.97,"$112,044.59",Gaming
,Nintendo,Luxembourg,69.99,EUR,Zelda,$79.31,"$112,044.59",Gaming
,Steam,Malaysia,119.00,MYR,GTA V,$27.84,"$34,567.07",Gaming
,Steam,Malaysia,236.99,MYR,Doom Eternal,$55.44,"$34,567.07",Gaming
,Steam,Malaysia,37.49,MYR,PUBG,$8.77,"$34,567.07",Gaming
,Steam,Malta,14.99,EUR,PUBG,$16.99,"$49,589.46",Gaming
,Steam,Malta,29.99,EUR,GTA V,$33.98,"$49,589.46",Gaming
,Steam,Malta,59.99,EUR,Doom Eternal,$67.97,"$49,589.46",Gaming
,Playstation,Malta,19.99,EUR,God Of War,$22.65,"$49,589.46",Gaming
,Playstation,Malta,19.99,EUR,Bloodborne,$22.65,"$49,589.46",Gaming
,Playstation,Malta,49.99,EUR,Spider-Man,$56.64,"$49,589.46",Gaming
,Nintendo,Malta,59.99,EUR,Animal crossing,$67.97,"$49,589.46",Gaming
,Nintendo,Malta,59.99,EUR,Mario,$67.97,"$49,589.46",Gaming
,Nintendo,Malta,69.99,EUR,Zelda,$79.31,"$49,589.46",Gaming
,Steam,Mexico,"1,399.00",MXN,Doom Eternal,$64.43,"$21,362.85",Gaming
,Steam,Mexico,150.00,MXN,PUBG,$6.91,"$21,362.85",Gaming
,Steam,Mexico,599.00,MXN,GTA V,$27.59,"$21,362.85",Gaming
,Nintendo,Mexico,"1,499.00",MXN,Animal crossing,$69.04,"$21,362.85",Gaming
,Nintendo,Mexico,"1,599.00",MXN,Zelda,$73.64,"$21,362.85",Gaming
,Nintendo,Mexico,"1,599.00",MXN,Mario,$73.64,"$21,362.85",Gaming
,Xbox,Mexico,597.50,MXN,Red Dead,$27.52,"$21,362.85",Gaming
,Xbox,Mexico,649.50,MXN,Forza Horizon,$29.91,"$21,362.85",Gaming
,Xbox,Mexico,845.00,MXN,Sekiro,$38.92,"$21,362.85",Gaming
,Spotify,Finland,9.99,EUR,Individual,$11.32,"$49,547.88",Music Streaming
,Spotify,Spain,9.99,EUR,Individual,$11.32,"$43,007.50",Music Streaming
,Spotify,Germany,9.99,EUR,Individual,$11.32,"$55,306.21",Music Streaming
,Spotify,Belgium,9.99,EUR,Individual,$11.32,"$50,904.69",Music Streaming
,Spotify,Andorra*,9.99,EUR,Individual,$11.32,"$49,900.00",Music Streaming
,Spotify,Sweden,99.00,SEK,Individual,$10.78,"$55,988.99",Music Streaming
,Spotify,United States,9.99,USD,Individual,$9.99,"$67,426.84",Music Streaming
,Apple music,United States,9.99,USD,Individual,$9.99,"$67,426.84",Music Streaming
,Apple music,Anguilla*,9.99,USD,Individual,$9.99,"$12,200.00",Music Streaming
,Apple music,Montserrat*,9.99,USD,Individual,$9.99,"$34,000.00",Music Streaming
,Apple music,Antigua And Barbuda,9.99,USD,Individual,$9.99,"$30,593.26",Music Streaming
,Apple music,Costa Rica,9.99,USD,Individual,$9.99,"$18,650.95",Music Streaming
,Apple music,Nicaragua,9.99,USD,Individual,$9.99,"$5,296.56",Music Streaming
,Playstation,Mexico,19.99,USD,God Of War,$19.99,"$21,362.85",Gaming
,Playstation,Mexico,19.99,USD,Bloodborne,$19.99,"$21,362.85",Gaming
,Playstation,Mexico,39.99,USD,Spider-Man,$39.99,"$21,362.85",Gaming
,Steam,Moldova,8.99,USD,PUBG,$8.99,"$8,160.54",Gaming
,Steam,Moldova,24.99,USD,GTA V,$24.99,"$8,160.54",Gaming
,Steam,Moldova,29.99,USD,Doom Eternal,$29.99,"$8,160.54",Gaming
,Steam,Myanmar,14.99,USD,PUBG,$14.99,"$7,219.61",Gaming
,Steam,Myanmar,19.99,USD,GTA V,$19.99,"$7,219.61",Gaming
,Steam,Myanmar,59.99,USD,Doom Eternal,$59.99,"$7,219.61",Gaming
,Steam,Netherlands,14.99,EUR,PUBG,$16.99,"$60,299.14",Gaming
,Steam,Netherlands,29.99,EUR,GTA V,$33.98,"$60,299.14",Gaming
,Steam,Netherlands,59.99,EUR,Doom Eternal,$67.97,"$60,299.14",Gaming
,Playstation,Netherlands,19.99,EUR,God Of War,$22.65,"$60,299.14",Gaming
,Playstation,Netherlands,19.99,EUR,Bloodborne,$22.65,"$60,299.14",Gaming
,Xbox,Netherlands,34.99,EUR,Red Dead,$39.65,"$60,299.14",Gaming
,Xbox,Netherlands,34.99,EUR,Forza Horizon,$39.65,"$60,299.14",Gaming
,Xbox,Netherlands,45.49,EUR,Sekiro,$51.54,"$60,299.14",Gaming
,Playstation,Netherlands,49.99,EUR,Spider-Man,$56.64,"$60,299.14",Gaming
,Nintendo,Netherlands,59.99,EUR,Animal crossing,$67.97,"$60,299.14",Gaming
,Nintendo,Netherlands,59.99,EUR,Mario,$67.97,"$60,299.14",Gaming
,Nintendo,Netherlands,69.99,EUR,Zelda,$79.31,"$60,299.14",Gaming
,Steam,New Zealand,119.95,NZD,Doom Eternal,$77.96,"$42,044.57",Gaming
,Steam,New Zealand,19.99,NZD,PUBG,$12.99,"$42,044.57",Gaming
,Steam,New Zealand,54.95,NZD,GTA V,$35.72,"$42,044.57",Gaming
,YouTube Premium,Slovakia,7.19,EUR,Monthly,$8.15,"$38,321.54",Video Streaming
,YouTube Premium,Slovenia,7.19,EUR,Monthly,$8.15,"$40,343.95",Video Streaming
,Netflix,Netherlands,10.99,EUR,Standard,$12.45,"$60,299.14",Video Streaming
,Netflix,Guatemala,10.99,EUR,Standard,$12.45,"$9,009.03",Video Streaming
,Netflix,Belgium,10.99,EUR,Standard,$12.45,"$50,904.69",Video Streaming
,Netflix,Greece,10.99,EUR,Standard,$12.45,"$31,616.27",Video Streaming
,Netflix,Luxembourg,10.99,EUR,Standard,$12.45,"$112,044.59",Video Streaming
,Netflix,Switzerland,11.90,CHF,Basic,$12.42,"$67,557.70",Video Streaming
,Netflix,Singapore,16.98,SGD,Premium,$12.19,"$105,689.46",Video Streaming
,Netflix,Indonesia,"169,000.00",IDR,Premium,$12.14,"$14,840.76",Video Streaming
,Netflix,Hong Kong,93.00,HKD,Premium,$12.00,"$66,527.92",Video Streaming
,Netflix,South Korea,"14,500.00",KRW,Premium,$12.00,"$46,451.61",Video Streaming
,Netflix,Iran*,11.99,USD,Premium,$11.99,"$19,098.00",Video Streaming
,Netflix,Egypt,11.99,USD,Premium,$11.99,"$14,800.34",Video Streaming
,Netflix,Iraq,11.99,USD,Premium,$11.99,"$18,754.87",Video Streaming
,Netflix,Algeria,11.99,USD,Premium,$11.99,"$16,090.69",Video Streaming
,Netflix,Jordan,11.99,USD,Premium,$11.99,"$9,939.37",Video Streaming
,Netflix,Lebanon,11.99,USD,Premium,$11.99,"$15,598.81",Video Streaming
,Netflix,Morocco,11.99,USD,Premium,$11.99,"$9,666.65",Video Streaming
,Netflix,Tunisia,11.99,USD,Premium,$11.99,"$13,092.76",Video Streaming
,Netflix,Nigeria,11.99,USD,Premium,$11.99,"$6,171.68",Video Streaming
,Netflix,Zambia,11.99,USD,Premium,$11.99,"$4,174.26",Video Streaming
,Netflix,Kenya,11.99,USD,Premium,$11.99,"$4,078.18",Video Streaming
,Netflix,Zimbabwe,11.99,USD,Premium,$11.99,"$2,777.69",Video Streaming
,Netflix,Nepal,11.99,USD,Premium,$11.99,"$3,549.85",Video Streaming
,Netflix,Bangladesh,11.99,USD,Premium,$11.99,"$5,453.01",Video Streaming
,Netflix,Denmark,79.00,DKK,Basic,$11.98,"$55,674.67",Video Streaming
,Amazon Prime,New Zealand,5.99,USD,Monthly,$5.99,"$42,044.57",Video Streaming
,Amazon Prime,South Africa,5.99,USD,Monthly,$5.99,"$13,965.17",Video Streaming
,Amazon Prime,South Korea,5.99,USD,Monthly,$5.99,"$46,451.61",Video Streaming
,Twitch Prime,Germany,7.99,EUR,Monthly,$9.05,"$55,306.21",Video Streaming
,Twitch Prime,Austria,7.99,EUR,Monthly,$9.05,"$55,171.99",Video Streaming
,Spotify,New Zealand,14.99,NZD,Individual,$9.74,"$42,044.57",Music Streaming
,Apple music,Montenegro,7.99,EUR,Family,$9.05,"$20,976.74",Music Streaming
,YouTube Premium,Cyprus,8.49,EUR,Monthly,$9.62,"$42,956.46",Video Streaming
,YouTube Premium,Estonia,8.49,EUR,Monthly,$9.62,"$37,605.62",Video Streaming
,YouTube Premium,Greece,8.49,EUR,Monthly,$9.62,"$31,616.27",Video Streaming
,YouTube Premium,Latvia,8.49,EUR,Monthly,$9.62,"$32,986.51",Video Streaming
,YouTube Premium,Lithuania,8.49,EUR,Monthly,$9.62,"$38,751.02",Video Streaming
,YouTube Premium,Portugal,8.49,EUR,Monthly,$9.62,"$34,935.82",Video Streaming
,Apple music,Slovakia,8.99,EUR,Family,$10.19,"$38,321.54",Music Streaming
,Apple music,Slovenia,8.99,EUR,Family,$10.19,"$40,343.95",Music Streaming
,Netflix,Malaysia,51.00,MYR,Premium,$11.93,"$34,567.07",Video Streaming
,Netflix,Sweden,109.00,SEK,Standard,$11.87,"$55,988.99",Video Streaming
,Netflix,Norway,109.00,NOK,Standard,$11.72,"$79,638.07",Video Streaming
,Netflix,United Kingdom,8.99,GBP,Standard,$11.38,"$48,168.87",Video Streaming
,Netflix,Slovenia,9.99,EUR,Standard,$11.32,"$40,343.95",Video Streaming
,Netflix,Estonia,9.99,EUR,Standard,$11.32,"$37,605.62",Video Streaming
,Netflix,Latvia,9.99,EUR,Standard,$11.32,"$32,986.51",Video Streaming
,Netflix,Ukraine,9.99,EUR,Standard,$11.32,"$10,310.06",Video Streaming
,Spotify,Bulgaria,7.99,EUR,Individual,$9.05,"$26,034.33",Music Streaming
,Spotify,Japan,980.00,JPY,Individual,$8.97,"$46,827.35",Music Streaming
,Spotify,Australia,11.99,AUD,Individual,$8.38,"$54,799.04",Music Streaming
,Spotify,Uruguay,7.99,USD,Individual,$7.99,"$24,515.57",Music Streaming
,Spotify,Greece,6.99,EUR,Individual,$7.92,"$31,616.27",Music Streaming
,Spotify,Portugal,6.99,EUR,Individual,$7.92,"$34,935.82",Music Streaming
,Spotify,Malta,6.99,EUR,Individual,$7.92,"$49,589.46",Music Streaming
,Spotify,Lithuania,6.99,EUR,Individual,$7.92,"$38,751.02",Music Streaming
,Spotify,Latvia,6.99,EUR,Individual,$7.92,"$32,986.51",Music Streaming
,Spotify,Estonia,6.99,EUR,Individual,$7.92,"$37,605.62",Music Streaming
,Spotify,Cyprus,6.99,EUR,Individual,$7.92,"$42,956.46",Music Streaming
,Spotify,Malaysia,33.00,MYR,Individual,$7.72,"$34,567.07",Music Streaming
,Spotify,Hong Kong,58.00,HKD,Individual,$7.48,"$66,527.92",Music Streaming
,Apple music,Argentina,9.99,USD,Individual,$9.99,"$19,970.52",Music Streaming
